,company_name,Type,Rating(K),Employees,Extra_Info
3509,TATA Advanced Materials,Defence & Aerospace,3.9,501-1k Employees,33 years old
3510,SPRINKLR,Software Product,3.1,1k-5k Employees,New York City +6 more
3511,Van Heusen,Fashion & Textile,4.2,51-200 Employees,New York +54 more
3512,MNC Group,Investment Banking / Venture Capital / Private Equity,4.2,1 Lakh+ Employees (Global),Jakarta +37 more
3513,GMR Energy,Power,4.4,1k-5k Employees,27 years old
3514,Central Institute of Plastics Engineering & Technology,Education & Training,3.7,51-200 Employees,55 years old
3515,Minda Kosei Aluminum Wheel,Auto Components,4.0,501-1k Employees,Bawal +11 more
3516,Saregama India,Media & Entertainment,4.0,201-500 Employees,122 years old
3517,Sterling Talent Solutions,Internet,3.8,1k-5k Employees,Bothell +2 more
3518,Vision Express,Retail,4.1,501-1k Employees,Bangalore/Bengaluru +31 more
3519,Cyber Infrastructure,IT Services & Consulting,3.5,501-1k Employees,San Jose +2 more
3520,Spice Money,Financial Services,4.1,501-1k Employees,Noida +48 more
3521,Prolifics Corporation,IT Services & Consulting,3.7,501-1k Employees,Orlando +6 more
3522,IndustryBuying.com,Import & Export,3.3,51-200 Employees,10 years old
3523,TCL,Consumer Electronics & Appliances,3.9,51-200 Employees,42 years old
3524,Superhouse,Leather,3.3,501-1k Employees,17 years old
3525,Moon Beverages,Beverage,3.8,51-200 Employees,36 years old
3526,Sears Holdings,Retail,4.0,501-1k Employees,14 years old
3527,PARAGON POLYMER PRODUCTS,Fashion & Textile,4.1,1k-5k Employees,Kottayam +32 more
3528,Aachi Foods,FMCG,4.0,501-1k Employees,Chennai +25 more
3529,Honda India Power Products,Industrial Machinery,4.2,1k-5k Employees,
3530,Delphi Automotive Systems,Auto Components,4.0,51-200 Employees,29 years old
3531,Matrix Cellular Services,Telecom,3.5,51-200 Employees,Delhi +20 more
3532,Gopaljee Dairy Foods,Food Processing,3.9,501-1k Employees,Noida +27 more
3533,SAR Group,Facility Management Services,4.1,51-200 Employees,Gurugram +24 more
3534,Sitel Group India,BPO,3.7,1k-5k Employees,Miami +8 more
3535,DEC Infra,Real Estate,3.5,201-500 Employees,Hyderabad +17 more
3536,Jain University,Education & Training,3.6,1k-5k Employees,Bangalore +8 more
3537,Satguru Travels and Tour Services,Travel & Tourism,3.1,201-500 Employees,Dubai +24 more
3538,Barista Coffee Company,Beverage,4.1,1k-5k Employees,Delhi/NCR +23 more
3539,SHV Energy,Oil & Gas,3.8,201-500 Employees,Hoofddorp +25 more
3540,Securens System,Law Enforcement & Security,3.7,201-500 Employees,11 years old
3541,NextGen Healthcare,IT Services & Consulting,3.6,501-1k Employees,Atlanta +8 more
3542,Cryoviva Biotech,Biotechnology,3.3,501-1k Employees,Gurgaon/Gurugram +37 more
3543,Adani Gas,Oil & Gas,3.5,201-500 Employees,19 years old
3544,ITCONS e-Solutions,IT Services & Consulting,3.6,1k-5k Employees,Noida +55 more
3545,ecare India,BPO,3.7,1k-5k Employees,Chennai +5 more
3546,Naandi Foundation,Non-Profit,4.0,201-500 Employees,Hyderabad/Secunderabad +40 more
3547,AgreeYa Solutions,Software Product,3.4,501-1k Employees,Folsom +9 more
3548,VISA Steel,Iron & Steel,3.8,1k-5k Employees,27 years old
3549,Network 18,Media & Entertainment,4.0,501-1k Employees,Mumbai +20 more
3550,Namaste India Foods,Food Processing,3.9,11-50 Employees,Kanpur +20 more
3551,Costa Cruise Lines,Travel & Tourism,4.3,51-200 Employees,Genoa +11 more
3552,Mobius Knowledge Services,Printing & Publishing,3.6,1k-5k Employees,Chennai +2 more
3553,The Professional Couriers,Logistics,3.6,1k-5k Employees,Navi Mumbai +50 more
3554,The KCP,Building Material,4.3,1k-5k Employees,82 years old
3555,High Street Essentials,Retail,4.4,501-1k Employees,
3556,Creative Hands HR Consultancy,Recruitment,3.8,51-200 Employees (Global),Chennai +36 more
3557,Arcesium,IT Services & Consulting,3.9,1k-5k Employees,New York City +3 more
3558,Bluestone.com,Jewellery,3.6,501-1k Employees,12 years old
3559,CES,IT Services & Consulting,3.8,1k-5k Employees,27 years old
3560,Gufic Biosciences,Pharma,3.5,501-1k Employees,53 years old
3561,Microsense,IT Services & Consulting,3.6,201-500 Employees,Collegeville +25 more
3562,Speridian Technologies,IT Services & Consulting,3.7,1k-5k Employees,Albuquerque +10 more
3563,Puzzolana Machinery Fabricators,Industrial Machinery,3.7,501-1k Employees,Hyderabad/Secunderabad +6 more
3564,MEDOPHARM,Pharma,3.6,1k-5k Employees,Chennai +16 more
3565,Bangalore International Airport,Logistics,4.2,1k-5k Employees,Bangalore/Bengaluru +9 more
3566,QDegrees,Management Consulting,3.7,501-1k Employees,Jaipur +25 more
3567,Zen3 Info Solutions,IT Services & Consulting,3.9,1k-5k Employees,Redmond +2 more
3568,NTPC GE Power Services,Oil & Gas,3.5,51-200 Employees,Noida +15 more
3569,Praxair,Chemicals,4.2,201-500 Employees,Danbury +26 more
3570,IMC,Ports & Shipping,4.0,501-1k Employees,Chennai +32 more
3571,Veer-O-- Metals,Industrial Machinery,4.1,201-500 Employees,Bangalore/Bengaluru +4 more
3572,Brinton Pharmaceuticals,Pharma,4.1,201-500 Employees,Pune +25 more
3573,DCDC Kidney Care,Healthcare,4.2,201-500 Employees,Delhi +44 more
3574,Javi Systems,IT Services & Consulting,3.8,201-500 Employees,Bangalore/Bengaluru +34 more
3575,Mitsubishi Elevators,Industrial Machinery,4.0,1k-5k Employees,Tokyo +19 more
3576,Midland Microfin,Financial Services,3.5,1k-5k Employees,Jalandhar +59 more
3577,Greentech Industries,Industrial Machinery,4.0,5k-10k Employees,Naidupet Mandal +6 more
3578,Pulse Pharmaceuticals,Pharma,3.7,1k-5k Employees,Hyderabad/Secunderabad +31 more
3579,Indira Gandhi International Airport,Urban Transport,4.2,10k-50k Employees (Global),61 years old
3580,Prabhat Dairy,FMCG,3.9,201-500 Employees,25 years old
3581,Mahle Anand Thermal Systems,201-500 Employees,4.3,Pune +6 more,
3582,Jade Global,IT Services & Consulting,3.7,1k-5k Employees,San Jose +5 more
3583,Columbia Petro Chem,Oil & Gas,4.2,51-200 Employees,Mumbai +10 more
3584,Trackon Courier,Logistics,3.5,51-200 Employees,Delhi/NCR +47 more
3585,Theobroma Foods,Food Processing,3.8,51-200 Employees,Mumbai +16 more
3586,St. John's Medical College Hospital,Analytics & KPO,3.9,1k-5k Employees,Bangalore/Bengaluru +9 more
3587,Allengers Medical Systems,Medical Equipment,3.7,1k-5k Employees,36 years old
3588,SYSTRA,Urban Transport,4.0,1k-5k Employees,66 years old
3589,MSCI,Financial Services,4.0,1k-5k Employees,54 years old
3590,Brg Iron And Steel Co.,Metals & Mining,3.4,51-200 Employees,Kolkata +8 more
3591,Entigrity Solutions,Recruitment,4.2,1k-5k Employees,New York +8 more
3592,MSP Steel & Power,Iron & Steel,3.9,1k-5k Employees,93 years old
3593,Plada Infotech Services,IT Services & Consulting,3.5,11-50 Employees,Mumbai +37 more
3594,United India Insurance Company,Insurance,4.3,10k-50k Employees,85 years old
3595,Path Infotech,IT Services & Consulting,4.3,201-500 Employees,Noida +7 more
3596,Aeries Technology,IT Services & Consulting,3.3,1k-5k Employees,Mumbai +5 more
3597,Al-Yamama Group,Engineering & Construction,3.7,51-200 Employees,Dammam +15 more
3598,Uniinfo Telecom Services,Telecom,3.7,201-500 Employees,13 years old
3599,Rajiv Gandhi Cancer Institute & Research Centre,Healthcare,3.9,1k-5k Employees,Delhi/NCR +2 more
3600,Stellantis,1k-5k Employees,3.4,Chennai +7 more,
3601,Futwork,Internet,4.4,Startup,Mumbai +8 more
3602,N Ranga Rao And Sons,FMCG,4.2,1k-5k Employees,Mysore/Mysuru +48 more
3603,Kusum Healthcare,Pharma,4.1,501-1k Employees,Delhi/NCR +6 more
3604,Fresenius Medical Care,Healthcare,3.8,201-500 Employees,27 years old
3605,Central Institute of Mining and Fuel Research,Education & Training,3.8,501-1k Employees,Dhanbad +11 more
3606,Solitaire World,Real Estate,4.0,201-500 Employees,Pune +3 more
3607,Weddingz.in,Internet,3.2,501-1k Employees,8 years old
3608,Europa Locks,Industrial Machinery,3.5,51-200 Employees,Pune +19 more
3609,Starbucks,Hospitality,4.4,1k-5k Employees,52 years old
3610,Finolex Ind,Building Material,4.0,1k-5k Employees,Pune +31 more
3611,Foundit,Hyderabad/Secunderabad +13 more,3.6,,
3612,LeadSquared,Software Product,3.0,1k-5k Employees,12 years old
3613,Alchem International,Pharma,3.8,201-500 Employees,Gurgaon/Gurugram +20 more
3614,Allahabad Bank,Banking,4.2,10k-50k Employees,Chennai +53 more
3615,Sentiss Pharma,Healthcare,4.0,501-1k Employees,Gurgaon/Gurugram +12 more
3616,Expert Global Solutions,BPO,3.5,1k-5k Employees,Aurangabad +5 more
3617,Billabong High International School,Education & Training,3.7,51-200 Employees,14 years old
3618,Symphony,Consumer Electronics & Appliances,4.0,201-500 Employees,35 years old
3619,AISECT,Education & Training,3.9,5k-10k Employees,Bhopal +43 more
3620,Expert Global Solutions,BPO,3.5,1k-5k Employees,Aurangabad +5 more
3621,Billabong High International School,Education & Training,3.7,51-200 Employees,14 years old
3622,Anglo-Eastern Ship Management,Ports & Shipping,4.0,10k-50k Employees,Kowloon +10 more
3623,Creamline Dairy Products,Food Processing,4.2,501-1k Employees,Hyderabad/Secunderabad +19 more
3624,Symphony,Consumer Electronics & Appliances,4.0,201-500 Employees,35 years old
3625,Fingent,IT Services & Consulting,4.6,201-500 Employees,New York +3 more
3626,Protiviti India Member,Management Consulting,3.5,501-1k Employees,Menlo Park +20 more
3627,Sentiss Pharma,Healthcare,4.0,501-1k Employees,Gurgaon/Gurugram +12 more
3628,Verifacts Services,Recruitment,3.6,51-200 Employees,Bengaluru +7 more
3629,Alchem International,Pharma,3.8,201-500 Employees,Gurgaon/Gurugram +20 more
3630,TAJSATS AIR CATERING,Hospitality,4.1,51-200 Employees,47 years old
3631,Tessolve Semiconductor,Semiconductors,3.5,1k-5k Employees,Bangalore/Bengaluru +12 more
3632,Holisol Logistics,Logistics,3.9,1k-5k Employees,Delhi +38 more
3633,Volvo Trucks,Automobile,4.2,1k-5k Employees,Gothenburg +26 more
3634,CallHealth,Healthcare,3.9,51-200 Employees,10 years old
3635,SirionLabs,IT Services & Consulting,3.2,201-500 Employees,11 years old
3636,Mindfire Solutions,Software Product,4.1,501-1k Employees,Bhubaneswar +3 more
3637,IM Gears,Auto Components,3.7,201-500 Employees,Chennai +4 more
3638,Apex CoVantage,IT Services & Consulting,3.6,51-200 Employees,Miami Beach +7 more
3639,Knack Global,IT Services & Consulting,3.3,501-1k Employees,Woodbridge +7 more
3640,Holisol Logistics,Logistics,3.9,1k-5k Employees,Delhi +38 more
3641,Super Auto Forge,Industrial Machinery,3.7,201-500 Employees,Chennai +5 more
3642,Volvo Trucks,Automobile,4.2,1k-5k Employees,Gothenburg +26 more
3643,Mindfire Solutions,Software Product,4.1,501-1k Employees,Bhubaneswar +3 more
3644,TAJSATS AIR CATERING,Hospitality,4.1,51-200 Employees,47 years old
3645,Futuresoft Solutions,IT Services & Consulting,3.2,501-1k Employees,New Delhi +17 more
3646,Keihin India Manufacturing,Auto Components,4.1,51-200 Employees,Tokyo +8 more
3647,Meenakshi Polymers,Auto Components,3.7,501-1k Employees,Gurgaon/Gurugram +17 more
3648,TJSB Sahakari Bank,Banking,3.8,1k-5k Employees,Thane +23 more
3649,Tessolve Semiconductor,Semiconductors,3.5,1k-5k Employees,Bangalore/Bengaluru +12 more
3650,TMEIC,Industrial Machinery,3.9,201-500 Employees,Tokyo +6 more
3651,Sanoh,Auto Components,4.2,201-500 Employees,Tokyo +15 more
3652,Indchemie Health Specialities,Pharma,4.1,1k-5k Employees,Mumbai +38 more
3653,Muthoot Capital Services,Financial Services,3.8,1k-5k Employees,29 years old
3654,Sanghi Cement,Building Material,3.6,501-1k Employees,
3655,Apex CoVantage,IT Services & Consulting,3.6,51-200 Employees,Miami Beach +7 more
3656,Connectwise India,IT Services & Consulting,4.0,1k-5k Employees,
3657,BOB Financial Solutions,Financial Services,3.9,201-500 Employees,29 years old
3658,Gold's Gym,Fitness & Wellness,3.9,1-10 Employees,Dallas +47 more
3659,AGI Glaspac,Packaging,3.8,1k-5k Employees,Hyderabad +4 more
3660,Accord Synergy,Hardware & Networking,4.0,51-200 Employees,9 years old
3661,Toyota Tsusho,Metals & Mining,4.2,501-1k Employees,24 years old
3662,Gi Group,Recruitment,3.7,51-200 Employees,Milan +36 more
3663,Innovatiview,IT Services & Consulting,3.8,501-1k Employees,Noida +5 more
3664,Aristocrat Technologies,IT Services & Consulting,4.1,501-1k Employees,North Ryde +6 more
3665,Balaji Wafers,Food Processing,4.3,1k-5k Employees,Rajkot +28 more
3666,Sel Manufacturing Co.,Fashion & Textile,3.6,1k-5k Employees,54 years old
3667,Orion Innovation,IT Services & Consulting,3.9,1k-5k Employees,New Jersey +10 more
3668,Policyboss.com,Insurance,3.3,1k-5k Employees,Mumbai +28 more
3669,Gold's Gym,Fitness & Wellness,3.9,1-10 Employees,Dallas +47 more
3670,Reliance Cement Company,Building Material,4.4,501-1k Employees,Kathmandu +26 more
3671,SMR Automotive Systems India,Auto Components,3.9,201-500 Employees,Stuttgart +15 more
3672,MRF Vapocure Paints,Chemicals,3.8,51-200 Employees,Chennai +50 more
3673,FUJIFILM,Animation & VFX,3.8,501-1k Employees,Tokyo +22 more
3674,Sanmarg Projects,Oil & Gas,4.3,201-500 Employees,Noida +38 more
3675,Mindteck,IT Services & Consulting,3.4,501-1k Employees,Bangalore/Bengaluru +7 more
3676,Simpa Energy,Power,4.3,51-200 Employees,Bangalore +29 more
3677,AGI Glaspac,Packaging,3.8,1k-5k Employees,Hyderabad +4 more
3678,Essar Power,Power,4.3,5k-10k Employees,26 years old
3679,Stellar Innovations,IT Services & Consulting,3.5,201-500 Employees,Dayton +6 more
3680,Dvara KGFS,Financial Services,4.1,1k-5k Employees,Chennai +36 more
3681,Stellar Innovations,IT Services & Consulting,3.5,201-500 Employees,Dayton +6 more
3682,Mediamint,Marketing & Advertising,4.0,1k-5k Employees,Hyderabad/Secunderabad +2 more
3683,Spacewood,Furniture & Furnishing,3.5,201-500 Employees,Nagpur +18 more
3684,BARC,Defence & Aerospace,4.4,10k-50k Employees,78 years old
3685,Amcor Flexibles India,Packaging,3.7,201-500 Employees,159 years old
3686,R L Fine Chem,Healthcare,3.6,201-500 Employees,Bangalore/Bengaluru +5 more
3687,Cremica Food Industries,Food Processing,4.0,501-1k Employees,45 years old
3688,Suresh Surana & Associates,Accounting & Auditing,3.4,1k-5k Employees,Mumbai +13 more
3689,KJS Cement,Building Material,3.7,1k-5k Employees,Satna +24 more
3690,National Insurance Company,Insurance,4.2,5k-10k Employees,117 years old
3691,Bazar India,Retail,3.7,51-200 Employees,8 years old
3692,e-Centric Solutions,IT Services & Consulting,3.4,201-500 Employees,Hyderabad +30 more
3693,Jindal Power,Metals & Mining,3.9,5k-10k Employees,16 years old
3694,B S R & Co Llp,Accounting & Auditing,3.3,5k-10k Employees,
3695,Verzeo,EdTech,2.7,11-50 Employees,Bangalore +10 more
3696,Xanadu,Real Estate,3.0,501-1k Employees,8 years old
3697,Epsilon Carbon,Chemicals,3.7,501-1k Employees,Mumbai +10 more
3698,Sanjeev Auto Parts Manufacturers,Auto Components,4.4,201-500 Employees,Aurangabad +1 more
3699,Lalitha Jewellery,Jewellery,4.0,1k-5k Employees,Chennai +24 more
3700,Anand Rathi: Online Stock Trading & Advisory,Financial Services,3.9,1k-5k Employees,Mumbai +34 more
3701,Omninos Solutions,Software Product,4.4,201-500 Employees,Chandigarh +22 more
3702,Verzeo,EdTech,2.7,11-50 Employees,Bangalore +10 more
3703,Imarticus Learning,EdTech,4.1,501-1k Employees,11 years old
3704,Vyapar,Software Product,3.9,501-1k Employees,8 years old
3705,Miracle Software Systems,IT Services & Consulting,3.4,1k-5k Employees,Novi +6 more
3706,Spectranet,Telecom,4.1,201-500 Employees,Gurgaon/Gurugram +11 more
3707,Odessa,IT Services & Consulting,3.7,1k-5k Employees,Philadelphia +2 more
3708,Expedia,IT Services & Consulting,4.3,1k-5k Employees,16 years old
3709,VSynergize Outsourcing,Marketing & Advertising,4.1,201-500 Employees,Boston
3710,Sakra World Hospital,Healthcare,4.1,1k-5k Employees,Bangalore/Bengaluru +4 more
3711,eBIZ.com,EdTech,3.9,51-200 Employees,Noida +23 more
3712,Krishnapatnam Port,Ports & Shipping,4.1,501-1k Employees,Nellore +10 more
3713,RNF Technologies,IT Services & Consulting,4.0,201-500 Employees,Noida +3 more
3714,MosChip Technologies,Semiconductors,4.3,1k-5k Employees,24 years old
3715,Flash Viven Machining Technologies,Electronics Manufacturing,3.8,1k-5k Employees,New Delhi +1 more
3716,Atibir Industries,Iron & Steel,3.5,501-1k Employees,Giridih +11 more
3717,Gujarat State Fertilizers & Chemicals,Agro Chemicals,4.6,1k-5k Employees,61 years old
3718,Teachnook,EdTech,3.6,201-500 Employees,Bengaluru/Bangalore +2 more
3719,Tata Green Batteries,Auto Components,4.2,201-500 Employees (Global),Pune +30 more
3720,IB Group,Food Processing,4.0,1k-5k Employees,Rajnandgaon +38 more
3721,Kaleesuwari Refinery,FMCG,3.9,501-1k Employees,Chennai +38 more
3722,Excelra Knowledge Solutions,Pharma,3.8,501-1k Employees,Hyderabad +7 more
3723,Clifford Chance,IT Services & Consulting,3.8,201-500 Employees,Gurgaon/Gurugram +3 more
3724,Robosoft Technologies,IT Services & Consulting,3.7,1k-5k Employees,New Udupi +5 more
3725,Slr Metaliks,Iron & Steel,4.3,1k-5k Employees,Karnataka +7 more
3726,Sungard Availability Services,IT Services & Consulting,3.9,51-200 Employees,Jacksonville +1 more
3727,WSP,Agro Chemicals,4.2,1k-5k Employees,Montreal +17 more
3728,ICICI Foundation for Inclusive Growth,Non-Profit,4.1,201-500 Employees,Mumbai +48 more
3729,Sales India,Retail,4.1,501-1k Employees,Ahmedabad +56 more
3730,TITAGARH WAGONS,Railways,3.1,501-1k Employees,25 years old
3731,Zuari Agro Chemicals,Agro Chemicals,4.2,501-1k Employees,56 years old
3732,Control Print,Consumer Electronics & Appliances,3.7,501-1k Employees,32 years old
3733,Bombay Dyeing,Fashion & Textile,3.7,501-1k Employees,Mumbai +21 more
3734,Doubletree By Hilton,Hospitality,3.9,501-1k Employees,Virginia +18 more
3735,PCS Technology,IT Services & Consulting,4.0,1k-5k Employees,42 years old
3736,Tata Green Batteries,Auto Components,4.2,201-500 Employees (Global),Pune +30 more
3737,KrazyBee,Internet,3.9,51-200 Employees,7 years old
3738,Cipla Industries,Pharma,3.9,11-50 Employees,New Delhi +31 more
3739,Bain & Company,Management Consulting,3.9,1k-5k Employees,Boston +8 more
3740,Shopclues,Internet,3.9,1k-5k Employees,12 years old
3741,HOLITECH INDIA,Electronics Manufacturing,3.8,51-200 Employees,
3742,Carnival Cinemas,Media & Entertainment,3.5,201-500 Employees,Mumbai +51 more
3743,Fluentgrid,IT Services & Consulting,4.0,501-1k Employees,Hyderabad/Secunderabad +25 more
3744,Galaxy Weblinks,IT Services & Consulting,4.0,501-1k Employees,Indore +7 more
3745,Universal Corporation,Pharma,3.7,1k-5k Employees,Kikuyu +32 more
3746,IQ BackOffice,IT Services & Consulting,3.7,201-500 Employees,El Segundo +4 more
3747,Prione Business Services,Retail,4.4,501-1k Employees,Bangalore/Bengaluru +23 more
3748,MidasCare Pharmaceuticals,Pharma,3.2,201-500 Employees,Mumbai +28 more
3749,Compunnel,IT Services & Consulting,3.8,501-1k Employees,Plainsboro Township +9 more
3750,Lobo Staffing Solutions,Recruitment,4.1,51-200 Employees,Mumbai +38 more
3751,Monnet Group,Metals & Mining,4.3,501-1k Employees,33 years old
3752,SGT University,Education & Training,3.5,501-1k Employees,Gurgaon/Gurugram +3 more
3753,Essae Digitronics,Electronics Manufacturing,4.2,51-200 Employees,Bangalore/Bengaluru +23 more
3754,Cliantha Research,Clinical Research,4.1,501-1k Employees,19 years old
3755,PC Financial Services,Financial Services,3.9,201-500 Employees,Gurgaon/Gurugram +3 more
3756,Government of West Bengal,Government,3.5,10k-50k Employees,Howrah +31 more
3757,Rooman Technologies,Education & Training,3.2,201-500 Employees,Bangalore/Bengaluru +36 more
3758,Dee Vee Projects,Engineering & Construction,3.8,51-200 Employees,Raipur  +27 more
3759,Reliable Autotech,Auto Components,4.2,1k-5k Employees,Nasik/Nashik +3 more
3760,BDO,Accounting & Auditing,3.5,1k-5k Employees,60 years old
3761,Pinkerton,Law Enforcement & Security,4.0,201-500 Employees,Ann Arbor +11 more
3762,VAYA Finserv,Financial Services,4.1,1k-5k Employees,9 years old
3763,Knoldus Inc,IT Services & Consulting,4.1,201-500 Employees,Mississauga +3 more
3764,Reliable Autotech,Auto Components,4.2,1k-5k Employees,Nasik/Nashik +3 more
3765,SOPAN,Industrial Machinery,3.9,1k-5k Employees,Pune +24 more
3766,SMC,Medical Equipment,3.7,201-500 Employees,35 years old
3767,OneAssist Consumer Solutions,Financial Services,4.1,201-500 Employees,Mumbai +25 more
3768,BDR Pharmaceuticals International,Pharma,3.7,1k-5k Employees,Mumbai +13 more
3769,SpeedLabs,Education & Training,3.6,51-200 Employees,8 years old
3770,Neon Laboratories,Pharma,3.6,1k-5k Employees,41 years old
3771,MindGate Solutions,IT Services & Consulting,3.4,501-1k Employees,Mumbai +6 more
3772,Hinduja Finance,NBFC,4.2,201-500 Employees,Mumbai +92 more
3773,Kyndal India,51-200 Employees,3.8,21 years old,
3774,Marksans Pharma,Pharma,3.4,201-500 Employees,31 years old
3775,Dee Vee Projects,Engineering & Construction,3.8,51-200 Employees,Raipur  +27 more
3776,L&T Heavy Civil Infrastructure,Engineering & Construction,4.2,5k-10k Employees,
3777,Government of West Bengal,Government,3.5,10k-50k Employees,Howrah +31 more
3778,Borosil Glass Works,501-1k Employees,3.7,Public,Mumbai +24 more
3779,Nuclear Power Corporation of India,Power,3.8,10k-50k Employees,36 years old
3780,Grant Thornton Bharat,Accounting & Auditing,3.6,1k-5k Employees,New Delhi +17 more
3781,Reliance BP Mobility,Oil & Gas,3.5,501-1k Employees,
3782,Xplore-Tech Services,BPO,3.0,51-200 Employees,Kolkata +8 more
3783,Envestnet Asset Management,Financial Services,4.1,1k-5k Employees,24 years old
3784,Unique Identification Authority of India,IT Services & Consulting,4.2,501-1k Employees,14 years old
3785,Southern Petrochemical Industries Corporation,Agro Chemicals,3.8,1k-5k Employees,54 years old
3786,Mobiloitte Technologies,IT Services & Consulting,2.7,501-1k Employees,Delhi/NCR +4 more
3787,Clix Capital Services,Investment Banking / Venture Capital / Private Equity,3.7,201-500 Employees,Gurgaon +20 more
3788,UNICEF,Non-Profit,3.9,10k-50k Employees (Global),New York +44 more
3789,Marathon Realty,Real Estate,4.2,201-500 Employees,Mumbai +6 more
3790,Save the Children,Non-Profit,4.3,201-500 Employees,Fairfield +29 more
3791,INOX Air Products,Chemicals,4.1,1k-5k Employees,Mumbai +40 more
3792,Jagran Prakashan,Printing & Publishing,4.0,501-1k Employees,48 years old
3793,Ford Business Services Center,Automobile,4.4,5k-10k Employees,Chennai +11 more
3794,Newgen Knowledge Works,Printing & Publishing,3.6,1k-5k Employees,Chennai +10 more
3795,Maharishi Vidya Mandir,Education & Training,4.2,5k-10k Employees,Bhopal +68 more
3796,Cargo Service Center India,Logistics,3.4,501-1k Employees,Mumbai +9 more
3797,Ace Designers,Industrial Machinery,4.1,201-500 Employees,Bangalore/Bengaluru +4 more
3798,Kosamattam Finance,Investment Banking / Venture Capital / Private Equity,3.5,51-200 Employees,Kottayam +51 more
3799,The Co-operative Bank,Banking,4.0,201-500 Employees,Manchester +80 more
3800,TrueBlue,Recruitment,4.0,51-200 Employees,Gurgaon/Gurugram +3 more
3801,The Sparks Foundation,Education & Training,4.3,5k-10k Employees,Chennai +14 more
3802,Pitti Engineering Solutions,Industrial Machinery,4.0,501-1k Employees,40 years old
3803,Lucas Indian Service,Auto Components,3.9,201-500 Employees,Chennai +32 more
3804,Ebixcash Global Services,Chennai +17 more,3.4,,
3805,Ebix Payment Services,1k-5k Employees,3.7,Chennai +38 more,
3806,Wabtec,Logistics,4.1,1k-5k Employees,Chennai +18 more
3807,Avantor,Biotechnology,3.6,1k-5k Employees,119 years old
3808,Ivy Hospital,Healthcare,3.6,501-1k Employees,Mohali +11 more
3809,Smc Insurance Brokers,Insurance,3.7,501-1k Employees,New Delhi +32 more
3810,Netaxis IT Solutions,IT Services & Consulting,3.7,1-10 Employees,Chennai +2 more
3811,Tenon Facility Management,Facility Management Services,3.5,201-500 Employees,Chennai +27 more
3812,Dynamic Beneficial Accord Marketing,Internet,4.0,1k-5k Employees,Gurgaon/Gurugram +45 more
3813,Oriental Carbon & Chemicals,Chemicals / Agri Inputs,4.1,201-500 Employees,45 years old
3814,Bandhan KOnnagar,Non-Profit,3.5,201-500 Employees,Kolkata +48 more
3815,Danieli,Industrial Machinery,3.6,501-1k Employees,Chennai +12 more
3816,Systems Plus Transformations,IT Services & Consulting,4.5,201-500 Employees,
3817,Vini Cosmetics,Beauty & Personal Care,3.9,201-500 Employees,Chennai +47 more
3818,Emirates Flight Catering,Hospitality,4.2,201-500 Employees,41 years old
3819,Alghanim International,Engineering & Construction,4.1,10k-50k Employees (Global),Chennai +10 more
3820,Fiat Chrysler Automobiles,Automobile,3.6,1k-5k Employees,9 years old
3821,Micromatic Machine Tools,Industrial Machinery,4.5,501-1k Employees,50 years old
3822,Global Hospital Pune India,51-200 Employees,4.0,11 years old,
3823,Yellow Diamond,FMCG,4.1,1k-5k Employees,14 years old
3824,DBG Technology,Electronics Manufacturing,4.0,1k-5k Employees,Huizhou +7 more
3825,Dataflow Group,IT Services & Consulting,3.0,51-200 Employees,Noida +6 more
3826,Faiveley Transport,501-1k Employees,4.1,154 years old,
3827,TCPL Packaging,Packaging,4.2,1k-5k Employees,36 years old
3828,TMF Group,Financial Services,3.8,501-1k Employees,Amsterdam  +8 more
3829,Deepak Phenolics,Chemicals,4.4,201-500 Employees,Vadodara +6 more
3830,Sri Gopikrishna Infrastructure,Engineering & Construction,3.7,51-200 Employees,Hyderabad/Secunderabad +27 more
3831,TALENTEDGE,EdTech,3.2,201-500 Employees,11 years old
3832,AIG,Insurance,4.1,10k-50k Employees,14 years old
3833,Cavisson Systems,IT Services & Consulting,3.6,501-1k Employees,Santa Clara +1 more
3834,AISATS,Aviation,3.8,5k-10k Employees,Mumbai +8 more
3835,Sundaram Motors,Automobile,3.9,51-200 Employees,Chennai +24 more
3836,Jaguar Land Rover,Automobile,4.0,1k-5k Employees,Coventry +31 more
3837,RASI SEEDS,Agriculture,4.2,501-1k Employees,Salem +53 more
3838,MEP Infrastructure Developers,Engineering & Construction,3.3,1k-5k Employees,21 years old
3839,HPM Chemicals & Fertilizers,Agro Chemicals,4.5,501-1k Employees,New Delhi +32 more
3840,Cavisson Systems,IT Services & Consulting,3.6,501-1k Employees,Santa Clara +1 more
3841,TMF Group,Financial Services,3.8,501-1k Employees,Amsterdam  +8 more
3842,Sundaram Motors,Automobile,3.9,51-200 Employees,Chennai +24 more
3843,TCPL Packaging,Packaging,4.2,1k-5k Employees,36 years old
3844,Sri Gopikrishna Infrastructure,Engineering & Construction,3.7,51-200 Employees,Hyderabad/Secunderabad +27 more
3845,Cognizant Softvision,IT Services & Consulting,3.7,501-1k Employees,New York City +14 more
3846,InKnowTech,IT Services & Consulting,3.6,51-200 Employees,Bangalore/Bengaluru +22 more
3847,Saurav Chemicals,Pharma,3.8,201-500 Employees,Panchkula +10 more
3848,Property Solutions,Facility Management Services,3.8,501-1k Employees,Mumbai +16 more
3849,Claris Lifesciences Ahmedabad,Healthcare,3.9,1k-5k Employees,24 years old
